Dao_title,categories,about,blockchain,followers,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/8392106e2ff53c3a848c7133099faebb.png
yog8 dao,['Social Impact'],yog dao encourages wellness in web by offering financial incentives for meditation and yoga to normalize self care and sacred geometry animated yoga boss nfts with chakra frequency music to induce meditative experience yog dao is yoga centered social impact dao providing mental health wellness metaverse to incentivize self care by merging gamification with meditation by offering financial rewards for individual and community meditation and yoga sessions we believe yoga and meditation are free mental health tools that should be easily accessible and our goal is to share yoga and meditation with billion people worldwide to normalize self care practices for the well being of our global community conscious contributions include sacred geometry animated yoga boss nft with chakra frequency music for an immediate meditative immersion in addition to the yog dao mental health wellness metaverse platform providing instant access to yoga meditation holistic health therapies and global yoga retreats,ethereum,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/fw2meQvS_400x400.png
lit protocol dao,"['DAO Tools', 'Protocol']",decentralized access control infrastructure designed to bring more utility to the web https litgateway com,ethereum,20600,https://ipfs.io/ipfs/QmaiYB6vhQVGyvB9amtcvb6a7YxXFaaqBEhGADmKk3Gu5R
minmax dao,['Investment'],the iotex native cross chain pegged assets amm to minimize fee and maximize yield for everyone,ethereum,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/C1sqSVvN_400x400.jpg
blockade games dao,"['DAO Tools', 'Gaming']",leading blockchain video game development studio,ethereum,13100,https://miro.medium.com/max/3150/2*X_8LYIcePYE1DMhi8vcHFw.png
the lao dao,"['other', 'other']",the lao is limited liability for profit dao that aims to be compliant with law and uses smart contracts to organize commercial affairs,other,0,https://ipfs.io/ipfs/QmeZfh7C9cRtLBdiMFxp7jdt1hv7Ci4MTN3yYMdKQRi6tK
grim finance dao,['other'],boosted vaults complex vault strategies built on fantom reap more crypto with crypto,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/BguEhNXQ_400x400.jpg
vincent dao,"['DAO Tools', 'Media', 'Collector']",search engine for investment opportunities,ethereum,2900,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/8ecf__10_400x400.jpg
shapeshift dao,['DeFi'],shapeshift believes that the world deserves an open source privacy forward non custodial partner in the growing defi and web universe free private decentralized community owned defi web and mobile app shapeshift values that you are always in control of your keys your crypto your data your privacy don settle for platform that offers less since shapeshift has been pioneering self custody for digital asset trading today shapeshift dao is an engaged community of builders working to advance the state of crypto trading investing and access to open decentralized financial systems our web and mobile platforms empower users to safely buy hold trade invest and interact with thousands of digital assets such as bitcoin ethereum and cosmos shapeshift has long been pioneer in the crypto space the organization was the first major platform to offer cross blockchain trades the first company to fully decentralize all corporate operations and issued the largest airdrop to date when it became dao all chains all protocols all wallets share our vision at app shapeshift com,ethereum,136400,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/23378fe5fdcd03891ade2a2f8092021c.jpg
bolddao,"['Collector', 'DeFi', 'other', 'Social', 'Social Impact']",we are building community for the boldest people across the world to do the boldest things in supporting free speech art and social causes,solana,0,https://ipfs.io/ipfs/QmfG1fiBMS2cACN6xzSC2QiQdAZch22ZfeXtikBvpyx7ng
winter bears dao,"['other', 'other', 'other', 'other']",winter bears is collection of adorable polar bear nfts available on the ethereum blockchain,other,0,https://ipfs.io/ipfs/QmZyZ4tCdXCY2WHUWpyNdtJoyMwCp8nMfc49KNyr7teqKE
movie studio dao,"['other', 'other', 'other', 'other', 'other']",the filmmaker crypto fundraising launchpad,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/M_QDth1C_400x400.png
4k dao,['Social'],permissionless marketplace for nfts backed by physical assets where users can mint nfts that represent ownership of their physical assets,ethereum,4100,https://pbs.twimg.com/profile_images/1513888948996694034/JYp1yFF5_400x400.png
eboos dao,"['other', 'other', 'other', 'other']",collection of sleepless birds living on the ethereum blockchain,other,0,https://ipfs.io/ipfs/QmZQUp21AiY4SQxjjpTLrq6MXjqQJfbBy5ipBGEowWFm1r
pixel heroes dao,"['other', 'other', 'other', 'other']",japan first generative collection place where everyone can be hero we are looking for you,other,0,https://pbs.twimg.com/profile_images/1449105383889457158/y0iYKZOv_400x400.png
silo finance dao,"['other', 'other']",providing secure money markets for all crypto assets,other,0,https://twitter.com/stakeborgdao/photo
stakeborg dao,"['other', 'other']",stakeborg dao plans to build fully functional profitable digital colony,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/VQGAiShH_400x400.png
governauts dao,['Social'],we share common purpose of research into many dimensions of governance and token systems,ethereum,1100,https://ipfs.io/ipfs/QmTekBioGEA1YDF8TSX78JFdprcGjBiXDkgsPLFRQC9GYV
spartacus dao,"['other', 'other', 'other', 'other']",defi tools to grow your crypto assets,other,0,https://ipfs.io/ipfs/QmbC3JPYj1Yu2Ua98wyUJoZZvGvxRZWwYD6PMtdSETtaHR
tag dao llc dao,['Gaming'],tag dao llc collarquest fully community organized nft gaming experience the dog collar metaverse game project under development has been dubbed collarquest collarquest will be fun and engaging game which can be played on any desktop laptop or device,polygon,1800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/7992cc18f8c3abc35f2bc8dbc822c19e.png
data union dao,"['DAO Tools', 'Protocol']",we want to be at the centre of the data union ecosystem empowering builders to launch data unions by providing them with the technology mentorship funding opportunities the dao is an open community of builders and union token holders it is responsible for developing the data union framework technology and growing the ecosystem it governs the technology and union token economics via token based voting,ethereum,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/SHKY1c_R_400x400.jpg
civilization dao,"['DeFi', 'Social']",the world first dex decentralized fund transforming defi staking and investment using auditable code and automated multi strategy selection giving maximum yield at minimum risk with superb ease of use,ethereum,18500,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/e46118d4f9f9a543e2aaadc89d6ef03f.png
hector finance dao,"['DeFi', 'Gaming', 'Investment', 'Metaverse', 'other', 'Social Impact', 'Venture Capital']",hector finance is decentralized protocol based on the hec token we are developing an ecosystem which will consist of various innovative developments and applications that will set us apart from the competition hector is community guided with hec holders deciding the future hector finance is creating suite of use cases which will provide true utility to the hec token profits from the ecosystem will be used to buyback and burn tokens from the open market allowing hec to be deflationary over time hector finance operates the world first deflationary rebase token this means that those who stake our native hec token receive rewards from rebases as well as the inherent rewards of deflationary token our token supply peaked at within two months of setting the goal of becoming deflationary we achieved reduction in the total supply of hec tokens in the final quarter of hector finance built treasury of more than in stablecoins by offering bonds of the hec token at discount to market prices we now have one of the largest development funds of any project in the space we are using those funds to develop suite of products and services to aid the expansion of the hector ecosystem whilst not in use the majority of the treasury is invested assuming moderate performance of these investments we can accumulate more than per year from interest alone into the treasury to support further development costs on march th the hector finance community voted to begin an emission plan which will create fixed supply cap for the hec token the progression of the emission plan means we can guarantee how many tokens will be minted as well as guarantee supply cap for hec whilst still making predictable changes to the apy over time additionally the plan allows us to invite users to lock their tokens for boosted reward reducing selling pressure,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/6dce64a3_400x400.jpg
jinn dao,['Protocol'],jinn dao invests in early stage projects and promising inidividuals in the nft space it is the community dao for enjin which buidls gaming arts infrastructure and other nft products including wallet and marketplace,ethereum,551400,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/fF8t7Afs_400x400.jpg
polymath dao,"['DAO Tools', 'DeFi']",decentralized protocol that operates on the ethereum,ethereum,76300,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/J66g5BoF_400x400.jpg
closer dao,"['Protocol', 'Social']",upcoming social hub for communities micro and large scale daos their governance and user identity management,binance,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/FYpwTofD_400x400.jpg
aladdindao,['other'],farm with defi big brains http aladdin club,ethereum,17800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/ou1yNJg5_400x400.jpg
honeydao,['other'],honeydao is collective of influencers investors developers and founders working towards improving defi one project at time,ethereum,4000,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/BVcNR51u_400x400.jpg
hop protocol dao,"['DAO Tools', 'DeFi']",protocol for sending tokens across rollups and their shared layer network in quick and trustless manner,ethereum,121000,https://ipfs.io/ipfs/QmbKtYYS7RuJGSHZW5a3DE2C7JqwcYHwZ2J7shnKfFPvu2
london night club dao,"['other', 'other', 'other', 'other']",the party never stops london dao is passionate community of degens collaborating to design artful experiences that celebrate innovation in ethereum culture working at the intersection of new technologies art and the exploration of significant moments in blockchain history our vision is to be champion of eth culture supporting the growth of projects and useful tools and highlighting influential artists,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/cvT6WBES_400x400.jpg
arcx dao,"['Protocol', 'DeFi']",decentralized scoring protocol that powers on chain identity through the issuance of defi passport,ethereum,17800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/f717f883afea0e02062635258896cbe3.png
blu3 dao,"['Social', 'Social Impact']",empowering women nonbinary and allies to learn earn and play in web to achieve financial freedom blu dao mission is to empower women to achieve financial freedom through learning exploring and building their careers in the web space our goal is to grow and diversify the crypto ecosystem by focusing on an end to end solution that is fair and frictionless this includes onboarding education and direct deployment of women talents into web as users and leaders we are an all inclusive dao and open our arms to women non binary and allies,other,0,https://ipfs.io/ipfs/QmP4tj2sZAqjuFqBc2dpNCbtTn8JWhpD7U3e7XnmnshQSX
herobabiesclubdao,"['other', 'other', 'other', 'other']",st stake to redeem nft project redeem coolest web products out there,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/rGsSg_xv_400x400.jpg
panda paradise dao,"['Collector', 'Social']",collection of unique randomly generated panda humanoids adventuring on the ethereum blockchain as erc nfts,ethereum,27300,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/g7frM560_400x400.jpg
dorg dao,['other'],dorg is full stack web development collective rewarding for reputation and product use dorg is an autonomous collective of engineers designers and other web specialists we build tools that empower people to self organize dorg aims to become the best service provider workplace and example of what is possible to achieve with web technology we are working to realize the web vision of decentralized internet that empowers individuals and communities everywhere read more about dorg on our handbook https docs dorg tech mission vision we envision future where power is radically decentralized people can easily coordinate and transact without intermediaries institutions are transparent and responsive to the needs of their constituents voluntary collectives outcompete coercive monopolies wealth is fairly distributed and machines handle the boring work while humans focus on meaningful pursuits we believe that web will be key part of this future and we re here to build it values,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/VAzRnb91_400x400.jpg
raccoon & boar mafia dao,['Collector'],nft collection,ethereum,19700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/TvXhlmQb_400x400.jpg
subdao,['DAO Tools'],make dao easier to use and more powerful,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/cl4EmI6y_400x400.jpg
x world games dao,"['Gaming', 'Collector']",makes xwg token holders decide the platform governance policy or the next in game development including reward mechanisms and tokenomic systems,binance,437900,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/5caLo6x7_400x400.jpg
pixelglyph dao,['Collector'],set of unique on chain avatar nfts created using cellular automaton on the ethereum blockchain,ethereum,5600,https://cyberconnect.mypinata.cloud/ipfs/QmWb5M3FVSLrXoNHRRjmw6sA5Fs2H7uGaKiSouToGZVGRv
kudasaidao,['Social'],crypto community kudasai jp,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/2b6cRdxa_400x400.png
shabu town dao,"['Gaming', 'Metaverse', 'Social', 'Media']",new metaverse where crypto fans can meet new friends hang out have fun play games find new projects etc,ethereum,11100,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/baJyyRv8_400x400.jpg
trojan dao,"['DAO Tools', 'DeFi']",fork of moloch to serve art experiments bridging web and irl,ethereum,1700,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/lH04XH-B_400x400.jpg
gilded dao,"['DAO Tools', 'Protocol', 'DeFi', 'other']",allows blockchain powered businesses effortlessly accept payments pay team members and deliver on financial reporting requirements,ethereum,2100,https://uploads-ssl.webflow.com/619530072f7e9458595ecc38/6197f0a241be5b582742b263_lobbySocial256w.png
lobby dao,['other'],join the fight against harmful crypto regulations,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/lRmXoLeB_400x400.jpg
kleros dao,['Protocol'],decentralized arbitration protocol for disputes in the web economy,ethereum,41300,https://pbs.twimg.com/profile_images/1400841331262431242/AcF08Jk1_400x400.jpg
vader protocol dao,['DeFi'],the father of decentralized liquidity,ethereum,9400,https://ipfs.io/ipfs/QmZJWXwoF5KgJ4YsYUTyk7JzHd7YrFNt9MDmLwAKrM5ViA
kaiju queenz genesis dao,"['other', 'other', 'other', 'other']",kaiju queenz enter the metaverse,other,0,https://ipfs.io/ipfs/QmUt3FDYKqUd9kGaod5u8u31L7Dencef1Vap2PvK6XK1yP
futera united dao,"['other', 'other', 'other', 'other']",of digital football cards that let you manage real club from the world famous creator of sports cards at futera,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/2tEAaqTS_400x400.jpg
88mph dao,"['DAO Tools', 'DeFi']",the best place to start earning fixed yield rate on assets secured with leading non custodial fully on chain protection measures,ethereum,21400,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/6sCZ8nqB_400x400.jpg
piedao,"['Protocol', 'DeFi', 'Social']",asset allocation dao for decentralized market weighted portfolio allocations piedao is community dao focused on tokenising automated wealth creation strategies the dao first line of products are balancer smart pools constant weight index funds pievaults yield generating tokenized portfolio allocations with productive assets and the oven system that allows users to save gas on expensive transactions by batching them together,ethereum,24000,https://pbs.twimg.com/profile_images/1476839743002677258/xOesRfpN_400x400.jpg
tron dao,['DAO Tools'],decentralize the web decentralize the web,binance,43000,https://pbs.twimg.com/profile_images/1475760736248893440/bVkClqrP_400x400.jpg
socean dao,['DeFi'],the best risk free yields on solana,solana,2500,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/UTn-2rAj_400x400.jpg
hypha dho dao,"['other', 'other', 'other', 'other']",dao based on holacratic and sociocratic principles fee free on chain governace roles assignments contribution requests and treasury management,bitcoin,1500,https://ipfs.io/ipfs/QmPcCw27F3SvSpeBKu1qKiFznfPFpcR7d3SAkjNiQWnV7W
hubble dao,['DeFi'],multi collateral cross margin perpetual futures on avalanche,avalanche,7600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/d4ab9ebb04cc965522866c2f4929767f.png
union dao,"['DeFi', 'Protocol', 'Investment']",union enables any wallet address to lend borrow or build credit onchain in permission less crypto native way union is member owned credit protocol built on ethereum in which members can underwrite lines of credit to other member addresses the protocol itself is not an underwriter of risk but rather mechanism to lower the cost of coordinating trust into available credit get vouches to borrow lend to friends and vote to define the future of union,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/fYVHRZ3B_400x400.jpg
citydao,['Social'],building city on the ethereum blockchain starting by collectively buying land in wyoming using the new wyoming dao llc law citydao is building the city of the future on the ethereum blockchain by tokenizing land rights and governance,ethereum,60600,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/sHGUQ_0F_400x400.jpg
0x dao,['DAO Tools'],decentralized exchange infrastructure for the internet decentralized exchange infrastructure for the internet,ethereum,284200,https://matrixdaoresearch.xyz/static/favicon.svg
matrixdao,"['Investment', 'Venture Capital']",matrixdao is community driven research dao that aims to explore emerging investment opportunities in web we integrate the wisdom and resources of the dao members to accelerate our portfolios shifting the paradigm of crypto investments from venture capital to collaborative contributions from the community,other,0,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/eeae2fba5dd32e642aec9df5b5f341f2.jpg
astrodao,"['DAO Tools', 'other']",launch your dao in less than minutes without line of code,near,0,https://pbs.twimg.com/profile_images/1493577511917473792/n3J0Sc_w_400x400.jpg
buidlerstribe dao,"['Investment', 'Venture Capital']",decentralize advisory and early investments high trust network of buidlers,polygon,1400,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/AEEJZc1H_400x400.jpg
scalar capital dao,['Venture Capital'],hedge fund company specializing in cryptoassets,ethereum,14800,https://daohq-dao-images.s3.us-east-2.amazonaws.com/images/sk-FVrKa_400x400.jpg
planet finance dao,"['Protocol', 'DeFi']",financial protocol consisting of different planets each their own app designed to enable anyone to activate their capital and put it to work,binance,7800,https://ipfs.io/ipfs/QmYrPYvcNFtRzeA8JjXKZnMSBw9wHPJ9Um9ft3yEeULC5m
