,Dao_title,categories,about,simdaos,chain
0,DAOHQ - Yog8 DAO,['Social Impact'],"Yog8 DAO encourages wellness in Web3 by offering financial incentives for meditation and Yoga to normalize Self-care and Sacred Geometry animated Yoga Boss NFTs with Chakra frequency music to induce a meditative experience.
 Yog8 DAO is a Yoga-centered social impact DAO providing a mental health wellness metaverse to incentivize Self-care by merging gamification with meditation by offering financial rewards for individual and community meditation and Yoga sessions. We believe Yoga and meditation are free mental health tools that should be easily accessible, and our goal is to share Yoga and meditation with 1 billion people worldwide to normalize Self-care practices for the well-being of our global community.
Conscious contributions include sacred geometry animated Yoga Boss NFT’s with Chakra frequency music for an immediate meditative immersion in addition to the $YOG8 DAO mental health wellness metaverse platform providing instant access to Yoga, meditation, holistic health therapies and global Yoga retreats.
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Ethereum', '89.0']"
1,DAOHQ - Lit Protocol DAO,"['DAO Tools', 'Protocol']","Decentralized access control infrastructure designed to bring more utility to the web https://litgateway.com/
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '20.6K']"
2,DAOHQ - MinMax DAO,['Investment'],"The IoTeX native cross-chain pegged assets AMM to MINimize fee and MAXimize yield for everyone!
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '55.0']"
3,DAOHQ - Blockade Games DAO,"['DAO Tools', 'Gaming']","Leading blockchain video game development studio
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '13.1K']"
4,DAOHQ - The LAO DAO,"[' www.thelao.io', ' www.thelao.io']","The LAO is a limited-liability, for-profit DAO that aims to be compliant with U.S. law and uses smart contracts to organize commercial affairs.
",[],[]
5,DAOHQ - Grim Finance DAO,['0x117db...4cbbb'],"Boosted Vaults, complex vault strategies built on Fantom. Reap more crypto, with crypto.
",[],[]
6,DAOHQ - Vincent DAO,"['DAO Tools', 'Media', 'Collector']","Search engine for investment opportunities
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '2.9K']"
7,DAOHQ - ShapeShift DAO,['DeFi'],"ShapeShift believes that the world deserves an open-source, privacy-forward, non-custodial partner in the growing DeFi and Web3 universe.
 Free. Private. Decentralized. Community Owned DeFi web and mobile app. ShapeShift values that you are always in control of: Your keys, your crypto. Your data, your privacy. Don’t settle for a platform that offers less.
Since 2014, ShapeShift has been pioneering self-custody for digital asset trading. Today’s ShapeShift DAO is an engaged community of builders working to advance the state of crypto trading, investing, and access to open, decentralized financial systems. Our web and mobile platforms empower users to safely buy, hold, trade, invest and interact with thousands of digital assets such as Bitcoin, Ethereum, and Cosmos.
ShapeShift has long been a pioneer in the crypto space: the organization was the first major platform to offer cross-blockchain trades, the first company to fully decentralize all corporate operations, and issued the largest airdrop to date when it became a DAO.
All Chains, All Protocols, All Wallets. Share Our Vision at app.shapeshift.com.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Ethereum', '136.4K']"
8,DAOHQ - BoldDao,"['Collector', 'DeFi', 'Service', 'Social', 'Social Impact']","We are building a community for the Boldest People across the world to do the boldest things in supporting free speech, art and social causes.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Solana', '331.0']"
9,DAOHQ - Winter Bears DAO,"[' t.co/NpPC9qFVrN Discord  Twitter ', ' t.co/NpPC9qFVrN', ' Discord ', ' Twitter ']","Winter Bears is a collection of 10,000 adorable polar bear NFTs available on the Ethereum blockchain.
",[],['12.0K']
10,DAOHQ - Movie Studio DAO,"[' www.moviestudiodao.xyz Discord  Twitter  Whitepaper ', ' www.moviestudiodao.xyz', ' Discord ', ' Twitter ', ' Whitepaper ']","The filmmaker’s crypto fundraising launchpad.
",[],['1.2K']
11,DAOHQ - 4k DAO,['Social'],"A permissionless marketplace for NFTs backed by physical assets––where users can mint NFTs that represent ownership of their physical assets.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '4.1K']"
12,DAOHQ - Eboos DAO,"[' www.eboosnft.com Discord  Twitter ', ' www.eboosnft.com', ' Discord ', ' Twitter ']","A collection of 8,192 sleepless birds living on the Ethereum blockchain.
",[],['3.5K']
13,DAOHQ - Pixel Heroes DAO,"[' www.pixelheroes-dao.com Discord  Twitter ', ' www.pixelheroes-dao.com', ' Discord ', ' Twitter ']","Japan’s first generative collection. A place where everyone can be a hero. We are looking for you.
",[],['2.1K']
14,DAOHQ - Silo Finance DAO,"[' www.silo.finance', ' www.silo.finance']","Providing secure money markets for all crypto assets.
",[],[]
15,DAOHQ - Stakeborg DAO,"[' www.stakeborgdao.com', ' www.stakeborgdao.com']","Stakeborg DAO plans to build a fully functional & profitable digital colony.
",[],[]
16,DAOHQ - Governauts DAO,['Social'],"We share a common purpose of research into many dimensions of governance and token systems!
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '1.1K']"
17,DAOHQ - Spartacus DAO,"[' spartacus.finance/# Discord  Twitter ', ' spartacus.finance/#', ' Discord ', ' Twitter ']","DeFi 2.0 tools to grow your crypto assets
",[],['Fantom']
18,DAOHQ - TAG DAO LLC DAO,['Gaming'],"TAG DAO LLC (CollarQuest) - A Fully Community-Organized NFT Gaming Experience
 The Dog Collar Metaverse game project under development has been dubbed CollarQuest. CollarQuest will be a fun and engaging game which can be played on any desktop, laptop, or device.
","['About', 'Aurory', 'Blockade Games', 'Collar Informer', 'BreederDAO']","['Polygon', '1.8K']"
19,DAOHQ - Data Union DAO,"['DAO Tools', 'Protocol']","We want to be at the centre of the Data Union Ecosystem, empowering builders to launch Data Unions by providing them with the technology, mentorship & funding opportunities.
 The DAO is an open community of builders and UNION token holders. It is responsible for developing the Data Union Framework technology and growing the ecosystem. It governs the technology and UNION token economics via token-based voting.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '368.0']"
20,DAOHQ - Civilization DAO,"['DeFi', 'Social']","The world’s first DEX (Decentralized) Fund: transforming Defi staking and investment, using 100% auditable code and automated multi-strategy selection – giving maximum yield at minimum risk with superb ease of use
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '18.5K']"
21,DAOHQ - Hector Finance DAO,"['DeFi', 'Gaming', 'Investment', 'Metaverse', 'Service', 'Social Impact', 'Venture Capital']","Hector Finance is a decentralized protocol based on the HEC token. We are developing an ecosystem which will consist of various innovative developments and applications that will set us apart from the competition. Hector is community guided with $HEC holders deciding the future.
 Hector Finance is creating a suite of use cases which will provide true utility to the $HEC token.
Profits from the ecosystem will be used to buyback and burn tokens from the open market,
allowing $HEC to be deflationary over time.
Hector Finance operates the world’s first deflationary rebase token. This means that those who stake our
native $HEC token receive rewards from rebases, as well as the inherent rewards of a deflationary token.
Our token supply peaked at 3,530,424. Within two months of setting the goal of becoming deflationary
we achieved a 14% reduction in the total supply of HEC tokens.
In the final quarter of 2021, Hector Finance built a treasury of more than $100,000,000 in stablecoins
by offering bonds of the HEC token at a discount to market prices. We now have one of the largest
development funds of any project in the space. We are using those funds to develop a suite of products
and services to aid the expansion of the Hector Ecosystem. Whilst not in use, the majority of the treasury
is invested. Assuming moderate performance of these investments, we can accumulate more than
$10,000,000 per year from interest alone into the treasury to support further development costs.
On March 29th 2022, the Hector Finance Community voted to begin an emission plan which will create
a fixed supply cap for the HEC token.
The progression of the emission plan means we can guarantee how many tokens will be minted as
well as guarantee a supply cap for HEC whilst still making predictable changes to the APY over time.
Additionally, the plan allows us to invite users to lock their tokens for a boosted reward, reducing selling
pressure.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Fantom']
22,DAOHQ - JINN DAO,['Protocol'],"JINN DAO invests in early-stage projects and promising inidividuals in the NFT space. It is the community DAO for Enjin, which BUIDLs gaming, arts, infrastructure and other NFT products, including a wallet and a marketplace.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '551.4K']"
23,DAOHQ - Polymath DAO,"['DAO Tools', 'DeFi']","Decentralized protocol that operates on the Ethereum
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '76.3K']"
24,DAOHQ - Closer DAO,"['Protocol', 'Social']","Upcoming social hub for communities, micro and large scale DAOs, their governance and user identity management
","['Aave', 'ARCx', 'APWine', 'API3']","['Binance', '611.0']"
25,DAOHQ - AladdinDAO,['Service'],"Farm with DeFi Big Brains
http://aladdin.club
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '17.8K']"
26,DAOHQ - HoneyDAO,['Service'],"HoneyDAO is a collective of influencers, investors, developers and founders working towards improving DeFi, one project at a time.
","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']","['Ethereum', '4.0K']"
27,DAOHQ - Hop Protocol DAO,"['DAO Tools', 'DeFi']","Protocol for sending tokens across rollups and their shared layer-1 network in a quick and trustless manner
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '121.0K']"
28,DAOHQ - LONDON NIGHT CLUB DAO,"[' london.pob.studio Discord  Twitter ', ' london.pob.studio', ' Discord ', ' Twitter ']","THE PARTY NEVER STOPS
 London DAO is a passionate community of degens collaborating to design artful experiences that celebrate innovation in Ethereum culture. Working at the intersection of new technologies, art, and the exploration of significant moments in blockchain history, our vision is to be a champion of ETH culture, supporting the growth of projects and useful tools, and highlighting influential artists.
",[],['5.1K']
29,DAOHQ - ARCx DAO,"['Protocol', 'DeFi']","A decentralized scoring protocol that powers on-chain identity through the issuance of a DeFi Passport
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '17.8K']"
30,DAOHQ - Blu3 DAO,"['Social', 'Social Impact']","Empowering women, nonbinary, and allies to learn, earn, and play in web3 to achieve financial freedom
 Blu3 DAO’s mission is to empower women to achieve financial freedom through learning, exploring and building their careers in the Web3 space. Our goal is to grow and diversify the crypto ecosystem by focusing on an end-to-end solution that is fair and frictionless. This includes onboarding, education and direct deployment of women talents into Web3 – as users and leaders. We are an ALL-inclusive DAO, and open our arms to women, non-binary, and allies.
","['About', '4k', 'ACryptoS', '1Hive', '8DAO']",['720.0']
31,DAOHQ - HeroBabiesClubDAO,"[' herobabiesclub.com Discord  Twitter ', ' herobabiesclub.com', ' Discord ', ' Twitter ']","1st “stake to redeem” NFT Project, redeem coolest web3.0 products out there!
",[],['649.0']
32,DAOHQ - Panda Paradise DAO,"['Collector', 'Social']","A collection of 8,888 unique, randomly generated Panda Humanoids adventuring on the Ethereum blockchain as ERC-721 NFTs
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '27.3K']"
33,DAOHQ - dOrg DAO,['Service'],"dOrg is a full-stack Web3 development collective, rewarding for reputation and product use.
 
dOrg is an autonomous collective of engineers, designers, and other web3
specialists. We build tools that empower people to self-organize.


dOrg aims to become the best service provider, workplace, and example of what is
possible to achieve with web3 technology.


We are working to realize the web3 vision of a decentralized internet that
empowers individuals and communities everywhere.


Read more about dOrg on our Handbook https://docs.dorg.tech/


Mission & Vision 


We envision a future where power is radically decentralized – people can easily
coordinate and transact without intermediaries; institutions are transparent and
responsive to the needs of their constituents; voluntary collectives outcompete
coercive monopolies; wealth is fairly distributed; and machines handle the
boring work while humans focus on meaningful pursuits.


We believe that web3 will be a key part of this future and we’re here to build
it.


Values

","['80Acres DAO', 'Aragon', 'AngelDAO', 'AladdinDAO']",['4.2K']
34,DAOHQ - Raccoon & Boar Mafia DAO,['Collector'],"NFT collection
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '19.7K']"
35,DAOHQ - SubDAO,['DAO Tools'],"Make DAO easier to use and more powerful
","['88mph', 'APY Vision', '0x', '1inch Network']",['114.0K']
36,DAOHQ - X World Games DAO,"['Gaming', 'Collector']","Makes XWG token holders decide the platform governance policy or the next in-game development, including reward mechanisms and tokenomic systems
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Binance', '437.9K']"
37,DAOHQ - Pixelglyph DAO,['Collector'],"A set of 10,000 unique on-chain avatar NFTs created using a cellular automaton on the Ethereum blockchain
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '5.6K']"
38,DAOHQ - KudasaiDAO,['Social'],"Crypto Community KUDASAI JP
","['1Hive', '8DAO', '4k', 'ACryptoS']",['34.2K']
39,DAOHQ - Shabu Town DAO,"['Gaming', 'Metaverse', 'Social', 'Media']","A new metaverse  where crypto fans can meet new friends, hang out, have fun, play games, find new projects, etc.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '11.1K']"
40,DAOHQ - Trojan DAO,"['DAO Tools', 'DeFi']","A fork of Moloch to serve art experiments bridging web3 and IRL.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '1.7K']"
41,DAOHQ - Gilded DAO,"['DAO Tools', 'Protocol', 'DeFi', 'Service']","Allows blockchain powered businesses effortlessly accept payments, pay team members, and deliver on financial reporting requirements
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '2.1K']"
42,DAOHQ - Lobby DAO,['0xac042...f875b'],"Join the fight against harmful crypto regulations.
",[],['940.0']
43,DAOHQ - Kleros DAO,['Protocol'],"A decentralized arbitration protocol for disputes in the web3 economy
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '41.3K']"
44,DAOHQ - Vader Protocol DAO,['DeFi'],"The Father of Decentralized Liquidity
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '9.4K']"
45,DAOHQ - Kaiju Queenz Genesis DAO,"[' www.kaijuqueenz.co Discord  Twitter ', ' www.kaijuqueenz.co', ' Discord ', ' Twitter ']","3,333 Kaiju Queenz enter the metaverse.
",[],[]
46,DAOHQ - Futera United DAO,"[' www.futeraunited.com Discord  Twitter ', ' www.futeraunited.com', ' Discord ', ' Twitter ']","‘1 of 1’ digital football cards that let YOU manage a real club, from the world famous creator of sports cards at Futera!
",[],['1.3K']
47,DAOHQ - 88mph DAO,"['DAO Tools', 'DeFi']","the best place to start earning a fixed yield rate on assets secured with leading non-custodial fully on-chain protection measures
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '21.4K']"
48,DAOHQ - PieDao,"['Protocol', 'DeFi', 'Social']","Asset allocation DAO for decentralized market-weighted portfolio allocations
 PieDAO is a community DAO focused on tokenising automated wealth creation strategies. The DAO’s first line of products are Balancer Smart Pools, constant weight index funds, PieVaults, yield-generating tokenized portfolio allocations with productive assets, and The Oven, a system that allows users to save gas on expensive transactions by batching them together.
","['Aave', 'ARCx', 'APWine', 'API3']","['Ethereum', '24.0K']"
49,DAOHQ - TRON DAO,['DAO Tools'],"DECENTRALIZE THE WEB
 DECENTRALIZE THE WEB
","['88mph', 'APY Vision', '0x', '1inch Network']","['Binance', '43.0K']"
50,DAOHQ - Socean DAO,['DeFi'],"The best risk-free yields on Solana
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Solana', '2.5K']"
51,DAOHQ - Hypha DHO DAO,"[' discord.com/invite/Gx3rmYfjaV Discord  Twitter ', ' discord.com/invite/Gx3rmYfjaV', ' Discord ', ' Twitter ']","A DAO based on holacratic and sociocratic principles. Fee-free on-chain governace. Roles, Assignments, contribution requests and treasury management.
",[],"['Bitcoin', '1.5K']"
52,DAOHQ - Hubble DAO,['DeFi'],"Multi-collateral/Cross-Margin Perpetual Futures on Avalanche
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Avalanche', '7.6K']"
53,DAOHQ - Union DAO,"['DeFi', 'Protocol', 'Investment']","Union enables any wallet address to lend, borrow, or build credit onchain in a permission-less, crypto-native way.
 Union is a member-owned credit protocol built on Ethereum, in which members can underwrite lines of credit to other member addresses. The protocol itself is not an underwriter of risk, but rather a mechanism to lower the cost of coordinating trust into available credit. Get vouches to borrow, lend to friends and vote to define the future of Union.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']",['Arbitrum']
54,DAOHQ - CityDAO,['Social'],"Building a city on the ethereum blockchain, starting by collectively buying land in Wyoming using the new Wyoming DAO LLC law.
 CityDAO is building the city of the future on the ethereum blockchain by tokenizing land, rights, and governance.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '60.6K']"
55,DAOHQ - 0x DAO,['DAO Tools'],"Decentralized exchange infrastructure for the internet
 Decentralized exchange infrastructure for the internet","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '284.2K']"
56,DAOHQ - MatrixDAO,"['Investment', 'Venture Capital']","MatrixDAO is a community-driven research DAO that aims to explore emerging investment opportunities in Web 3.0.
 We integrate the wisdom and resources of the DAO’s members to accelerate our portfolios, shifting the paradigm of crypto investments from venture capital to collaborative contributions from the community.
","['About', 'AngelDAO', '8DAO', '80Acres DAO', 'Alpha Finance Lab']",[]
57,DAOHQ - AstroDAO,"['DAO Tools', 'Service']","Launch your DAO in less than 10 minutes without a line of code.
","['88mph', 'APY Vision', '0x', '1inch Network']","['NEAR', '204.0']"
58,DAOHQ - BuidlersTribe DAO,"['Investment', 'Venture Capital']","Decentralize advisory and early investments
 A high-trust network of buidlers
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Polygon', '1.4K']"
59,DAOHQ - Scalar Capital DAO,['Venture Capital'],"A hedge fund company specializing in cryptoassets.
","['Audacity Fund', 'ForceDAO', 'Carib DAO', 'BuidlersTribe']","['Ethereum', '14.8K']"
60,DAOHQ - Planet Finance DAO,"['Protocol', 'DeFi']","Financial protocol consisting of different planets, each their own app, designed to enable anyone to activate their capital and put it to work
","['Aave', 'ARCx', 'APWine', 'API3']","['Binance', '7.8K']"
61,DAOHQ - Space Riders NFT DAO,"['DeFi', 'Social']","Owning a Space Rider grants member access to the Spaceport - a district where the Riders reside
 Space Riders is a collection of 8,888 NFTs that are deployed on the Ethereum blockchain. These NFTs are made up of astral like space explorers that take on a simple, but unique look. Space Riders are colorful, distinctive, and carry many traits that we all know and love. They pose to act as a reflection of all of us riding the space in web3. Most of us have become devoted to the NFT space in one way or another, therefore have spent lots of time learning about this rapid growing network. It’s busy, delicate, and very perplexing at times. What we aim to provide with Space Riders, is not only cool art that you can resonate with, but to bring riders of the space together.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '14.6K']"
62,DAOHQ - The Tower DAO,['Social'],"Futuristic skyscraper in the metaverse of Solana
 When you become a Resident you join a welcoming community of builders, artists, musicians, NFT investors, and more. Tower exists to open doors to your future in crypto and web3 while creating fun and memorable experiences.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '30.1K']"
63,DAOHQ - Gods Unchained DAO,['Gaming'],"A free-to-play tactical card game that gives players true ownership of their in-game items.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '100.9K']"
64,DAOHQ - Lil Baby Ape Club DAO,"[' www.lilbabyapeclub.com Discord  Twitter ', ' www.lilbabyapeclub.com', ' Discord ', ' Twitter ']","One day, a bunch of apes became really bored and decided, its time to have a family. Join the Club and let’s cause MAYHEM.
",[],[]
65,DAOHQ - Floki DAO,['0xcf0c1...b6a2e'],"#Floki is the people’s cryptocurrency and utility token of the Floki Ecosystem!
",[],['11.4K']
66,DAOHQ - DIAData DAO,"['DAO Tools', 'Protocol', 'Service']","Open-source data platform that allows market actors to supply, share and use transparent, crowd-verified data and oracles for DeFi
 DIA (Decentralised Information Asset) is a cross-chain, end-to-end, open-source data and oracle platform for Web3.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '53.7K']"
67,DAOHQ - OctopuoS DAO,['Entertainment'],"OctopuoS is a fun, gamified, $SOUP filled experience with true DAO immersion.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']",['Ethereum']
68,DAOHQ - LADZ DAO,"[' layer1.substack.com Discord  Twitter ', ' layer1.substack.com', ' Discord ', ' Twitter ']","A Content Network and Creator Collective for the NFT and Web3 industry
",[],['2.8K']
69,DAOHQ - fBOMB Finance DAO,['DeFi'],"The first native token on the Fantom ecosystem
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Fantom', '880.0']"
70,DAOHQ - SportX DAO,"['Entertainment', 'Social Impact']","Sports blockchain
 All Sports X is blockchain dedicated to sports marketing, sports IP NFT asset trading, sports middle-tier infrastructure implementation and game application development.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']","['Ethereum', '1.1K']"
