Unnamed: 0,Dao_title,categories,about,simdaos,chain,keyphrases,new_keyphrases
0,DAOHQ - Yog8 DAO,['Social Impact'],"Yog8 DAO encourages wellness in Web3 by offering financial incentives for meditation and Yoga to normalize Self-care and Sacred Geometry animated Yoga Boss NFTs with Chakra frequency music to induce a meditative experience.
 Yog8 DAO is a Yoga-centered social impact DAO providing a mental health wellness metaverse to incentivize Self-care by merging gamification with meditation by offering financial rewards for individual and community meditation and Yoga sessions. We believe Yoga and meditation are free mental health tools that should be easily accessible, and our goal is to share Yoga and meditation with 1 billion people worldwide to normalize Self-care practices for the well-being of our global community.
Conscious contributions include sacred geometry animated Yoga Boss NFT’s with Chakra frequency music for an immediate meditative immersion in addition to the $YOG8 DAO mental health wellness metaverse platform providing instant access to Yoga, meditation, holistic health therapies and global Yoga retreats.
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Ethereum', '89.0']","['addition' 'immediate meditative immersion'
 'mental health wellness metaverse platform' 'financial incentives'
 'chakra frequency music' 'yoga' 'well' 'web3' 'global community'
 'conscious contributions' 'people' 'holistic health therapies'
 'yoga boss nfts' 'mental health wellness metaverse' 'care'
 'sacred geometry' 'global yoga retreats' 'free mental health tools'
 'self' 'meditation' 'financial rewards' 'goal' 'community meditation'
 'meditative experience' 'gamification' 'yog8 dao' 'yoga sessions'
 'instant access' 'wellness' 'care practices' 'social impact dao'
 'yoga boss nft']","['Chakra frequency music' 'O' 'Sacred Geometry animated' 'Web3' 'Yog8 DAO'
 'Yoga' 'Yoga Boss NFTs' 'community meditation' 'financial incentives'
 'financial rewards' 'gamification' 'holistic health therapies'
 'meditation' 'mental health tools' 'mental health wellness'
 'sacred geometry' 'verse']"
1,DAOHQ - Lit Protocol DAO,"['DAO Tools', 'Protocol']","Decentralized access control infrastructure designed to bring more utility to the web https://litgateway.com/
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '20.6K']","['more utility' 'decentralized access control infrastructure'
 'web https://litgateway.com/']",['Decentralized access control infrastructure']
2,DAOHQ - MinMax DAO,['Investment'],"The IoTeX native cross-chain pegged assets AMM to MINimize fee and MAXimize yield for everyone!
","['80Acres DAO', 'Alpha Finance Lab', '8DAO', 'AngelDAO']","['Ethereum', '55.0']",['assets amm' 'everyone' 'fee' 'native cross - chain' 'iotex'],['pegged assets']
3,DAOHQ - Blockade Games DAO,"['DAO Tools', 'Gaming']","Leading blockchain video game development studio
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '13.1K']",['blockchain video game development studio'],['blockchain video game development studio']
4,DAOHQ - The LAO DAO,"[' www.thelao.io', ' www.thelao.io']","The LAO is a limited-liability, for-profit DAO that aims to be compliant with U.S. law and uses smart contracts to organize commercial affairs.
",[],[],"['commercial affairs' 'u.s. law' 'profit dao' 'liability' 'lao'
 'smart contracts']",['LAO' 'smart contracts']
5,DAOHQ - Grim Finance DAO,['0x117db...4cbbb'],"Boosted Vaults, complex vault strategies built on Fantom. Reap more crypto, with crypto.
",[],[],"['complex vault strategies' 'fantom' 'more crypto' 'boosted vaults'
 'crypto']",['Boosted Vaults' 'Fantom' 'complex vault strategies']
6,DAOHQ - Vincent DAO,"['DAO Tools', 'Media', 'Collector']","Search engine for investment opportunities
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '2.9K']",['investment opportunities' 'search engine'],['Search engine' 'investment opportunities']
7,DAOHQ - ShapeShift DAO,['DeFi'],"ShapeShift believes that the world deserves an open-source, privacy-forward, non-custodial partner in the growing DeFi and Web3 universe.
 Free. Private. Decentralized. Community Owned DeFi web and mobile app. ShapeShift values that you are always in control of: Your keys, your crypto. Your data, your privacy. Don’t settle for a platform that offers less.
Since 2014, ShapeShift has been pioneering self-custody for digital asset trading. Today’s ShapeShift DAO is an engaged community of builders working to advance the state of crypto trading, investing, and access to open, decentralized financial systems. Our web and mobile platforms empower users to safely buy, hold, trade, invest and interact with thousands of digital assets such as Bitcoin, Ethereum, and Cosmos.
ShapeShift has long been a pioneer in the crypto space: the organization was the first major platform to offer cross-blockchain trades, the first company to fully decentralize all corporate operations, and issued the largest airdrop to date when it became a DAO.
All Chains, All Protocols, All Wallets. Share Our Vision at app.shapeshift.com.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Ethereum', '136.4K']","['protocols' 'wallets' 'largest airdrop' 'non - custodial partner' 'state'
 'investing' 'shapeshift dao' 'today' 'users' 'defi web'
 'financial systems' 'mobile platforms' 'bitcoin'
 'cross - blockchain trades' 'crypto' 'engaged community' 'privacy'
 'vision' 'organization' 'data' 'dao' 'shapeshift' 'custody' 'community'
 'crypto trading' 'platform' 'world' 'first major platform'
 'app.shapeshift.com' 'cosmos' 'first company' 'universe' 'hold'
 'ethereum' 'source' 'web' 'keys' 'date' 'self' 'control' 'digital assets'
 'crypto space' 'trade' 'mobile app' 'thousands' 'digital asset trading'
 'access' 'chains' 'corporate operations' 'pioneer' 'defi' 'builders'
 'shapeshift values']","['Bitcoin' 'Ethereum' 'ShapeShift' 'decentralized' 'digital asset trading'
 'digital assets' 'mobile' 'mobile app' 'systems']"
8,DAOHQ - BoldDao,"['Collector', 'DeFi', 'Service', 'Social', 'Social Impact']","We are building a community for the Boldest People across the world to do the boldest things in supporting free speech, art and social causes.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Solana', '331.0']","['boldest people' 'art' 'community' 'social causes' 'boldest things'
 'world' 'free speech']",['art' 'free speech' 'social causes']
9,DAOHQ - Winter Bears DAO,"[' t.co/NpPC9qFVrN Discord  Twitter ', ' t.co/NpPC9qFVrN', ' Discord ', ' Twitter ']","Winter Bears is a collection of 10,000 adorable polar bear NFTs available on the Ethereum blockchain.
",[],['12.0K'],"['adorable polar bear nfts' 'ethereum blockchain' 'collection'
 'winter bears']",['Ethereum blockchain' 'Winter Bears']
