age,gender,country,city,income,blockchains,category,choice
65,male,UK,Manchester,55000,"['Binance Smart Chain', 'Avalanche']","['sports', 'travel', 'finance']",Field Hockey Soccer/footballBusiness Travel The Caravan/RV Road TripTreasury/Debt Instruments Mutual Funds Stock Market
21,male,UK,Birmingham-Wolverhampton,100000,[],"['music', 'sports', 'books', 'finance']",Jazz PopVolleyball Cricket Field HockeyThrillers Romance Historical FictionTax/Audit Consulting
41,other,UK,Southampton-Portsmouth,80000,[],"['music', 'sports', 'travel']",RhythmandBlues(R&B) CountryCricket Soccer/footballEvent Travel The Weekend Break The Caravan/RV Road Trip
41,female,UK,Birmingham-Wolverhampton,100000,"['Ripple', 'Cardano']","['sports', 'books']",Field HockeyHistorical Fiction Fantasy Romance
29,female,India,Chennai,15000,['Polygon'],"['sports', 'books', 'travel']",Volleyball Table Tennis BasketballFantasy Science Fiction MysteriesVisiting Friends The Caravan/RV Road Trip
13,female,UK,Glasgow,25000,"['Flow', 'Cardano']","['sports', 'books', 'travel', 'finance']",Badminton BasketballHistorical Fiction FantasyThe Package Holiday The Gap Year Volunteer TravelProfessional Advisory
58,female,India,Chennai,50000,[],"['music', 'sports', 'books', 'finance']",Pop RockField HockeyFantasy RomanceTax/Audit Consulting Stock Market
14,other,India,Bangalore,60000,"['Avalanche', 'Bitcoin']","['sports', 'books', 'travel', 'finance']",BasketballThrillers Romance Historical FictionThe Weekend BreakProfessional Advisory
12,female,US,NewYorkCity,35000,"['Solana', 'Ethereum', 'Ripple']","['music', 'sports', 'books', 'travel', 'finance']",CountryBadmintonThrillers Mysteries Historical FictionThe Caravan/RV Road TripWealth Management Treasury/Debt Instruments Tax/Audit Consulting
75,other,US,Los Angeles,30000,"['Binance Smart Chain', 'Polygon', 'Ripple']","['music', 'sports', 'books', 'travel', 'finance']",RhythmandBlues(R&B) Techno PopBadminton Cricket BasketballHistorical Fiction Romance Science FictionEvent Travel Visiting Friends The Package HolidayTax/Audit Consulting Professional Advisory Wealth Management
31,female,US,Phoenix,50000,"['Bitcoin', 'Ethereum']","['sports', 'finance']",Field Hockey CricketProfessional Advisory Mutual Funds Wealth Management
54,other,US,Houston,115000,"['Binance Smart Chain', 'Cardano']","['sports', 'books', 'travel', 'finance']",VolleyballScience FictionLong Term Slow TravelStock Market Professional Advisory
92,female,US,Los Angeles,10000,['Flow'],"['music', 'sports', 'travel', 'finance']",RhythmandBlues(R&B) Pop DubstepBadminton TennisThe Weekend Break The Gap Year The Package HolidayTax/Audit Consulting Stock Market Professional Advisory
